           날짜,          리뷰 내용,   평점(5개 만점)
2021년 1월,"(Google 번역 제공) 항상 어린 시절의 추억과 함께 방문하는 것이 좋지만 거의 항상 교통량이 좋지 ​​않습니다. 전반적으로 트래픽이 없어서 추천합니다.
(원문)
Always good to visit with childhood memories but bad traffic almost always. Overall without traffic, id recommend.",5
2020년 12월,6살아기가 하루종일 놀고 아쉬워하는곳,5
2020년 12월,"개버랜드보다 훨씬 좋아요 사람도 많지않고 놀이기구도 기다리지 않고 맘껏 탈수있네요 먹을거싸가도 앚아서 먹을벤치도 충분하고
먹거리도 가격 도 저렴하고 그리비싸지도 않고 편의점도 있어가 간편한 간식사먹기도 좋네요",
2020년 12월,"호수 한바뀌면 나이든분들 운동 충분...
다싸한음료나 간식싸오면 소풍온 느낌
단 흘리지말고 몽땅갖고가셔야 합니다
지하철이용경우 65세이상 무료운동가능..",5
2020년 12월,"엄마 아빠 4학년 동생과 함께
다녀왔습니다!!!
제 생각에는 아이들과 저렴하게
다녀올 수 있는 곳인 듯 합니당!!!
4명에서 넉넉하게 4만원5만원 정도
간식을 사 먹으려면 4명이서 6만원 정도 챙겨 오시면 충분합니다!!!
은하수888열차는 무서운데 스릴 넘칩니다.
하지만 360도 도는 것이 조금 위험하네요....
다른 놀이기구는 다 탈 만합니다!!
저녁 시간에는 거의 줄도 안 서고
탑승 가능 합니다!!
저는 개인적으로 탈 것은 별로 없는 것 같네요!!
어린 아이들은 좋아할 것 같습니드!!",5
2020년 12월,만원의 행복으로 잘 다녀왔습니다,4
2020년 12월,"아이들과 다녀오기 좋아요
야간 전등도 굳",5
2020년 12월,8년째 연간으로 다니는 곳 이젠 아이들이 친구들과 오네요,5
2020년 12월,레트로한 느낌의 놀이공원,4
2020년 12월,(Google 번역 제공) 휴식을위한 넓은 공간,5
2020년 12월,코로나후 첨으로 야외에서 만남 건강한 모습에 감사하고 흐뭇한 하루 였네요,4
2020년 12월,무조건 평일에 가세요,3
2020년 12월,아기가 잘 노네요 ㅎ 밥이 별루여서 별 하나 깎았어요,4
2020년 12월,볼거리가 없음.. 하지만 가성비최고,4
2020년 12월,"국민카드 만원의 행복 이벤트로 다녀옴
이벤트하면 올까 그냥은 못옴 가성비떨어짐
랜드안의 음식점은 정말비추 그냥 먹을꺼 포장해서 가는게 나음
그래도 나중에 평일에 조용할때 오고싶음",3
2020년 12월,,
2020년 12월,,
2020년 12월,직원도 친절하고 자리도 넓고 주차도 가능하고 여러모로 조아요,5
2020년 12월,"유아부터 초등저학년까지 놀기좋아요
기구들이 부모동승이 많아서 어릴때부터 종종 다녔어요
키가120이 넘으니 대부분 탈수있어서 좋네요
할인행사 꼭 챙겨서 가세요
만원의 행복할때 꼭 가요
Kt'는 늘 할인이라 통신사할인도 좋고
카드할인도 많이되네요",4
2020년 12월,그시절 놀이동산,4
2020년 12월,좋아요 애들이랑 오랜만에 즐거운 시간보냄,5
2020년 11월,사람이 별로 없어서 좋네요~!,5
2020년 11월,아이들이 좋아했슴 비가 와서 그런지 사람이 없어서 너무 좋았슴,4
2020년 11월,"주말이라 코로나가 무색할만큼 많은 사람들이 왔고
주차하는데 1시간 넘게 걸려 힘들었습니다.
한개 타는데 줄이 2시간이상 걸리고 좋은장소에서 사진찍는데도 줄서고 알고 있던것보다 더 최악인데 아이들이 좋아해서 별 4개입니다. 평일에 간다는 설정에 별 4개지 주말에는 별1개입니다",4
2020년 11월,,
2020년 11월,,
2020년 11월,서울랜드 초딩 데리고 가서 놀이기구 타면서 놀기 딱 인거 같아요^^,5
2020년 11월,9시간중에사람많아서 6개정도 박에 못탔어요,1
2020년 11월,노후됐지만 그냥저냥 놀만 한 곳. 주말은 주차 전쟁.,3
2020년 11월,"완젼 날씨좋고 줄도 짧고 넓은거같지만 평지라그런지 부담없이 돌아다닐수있고 진짜 최고!! 코로나로 쉬는게 쫌 많아 아쉬웠지만 쉼없이
놀다왔네요^-^",5
2020년 11월,"아이들과 놀기좋은 놀이공원.
어른들 보단 아이들과 함께.",5
2020년 11월,어렸을 때는 좋았던 곳인데 이제는 낡아가는 놀이공원. 그래도 아이들이 탈만한 어트랙션이 많아서 아이동반 가족은 할인을 많이 받는다면 가볼만하다.,3
2020년 11월,"국민카드 이벤트해서 오랜만에 다녀왔습니다.
아이들 키우느라 정신없었는데
오랜만에 신나게 돌아다녔어요.
사실 결혼 전이었다면 롯데월드나
에버랜드같은 더 높고 더 스릴있는
그런곳이 더 좋았겠지만
아이를 둘이나 데려가보니
서울랜드가 제일 좋았어요.
다른곳보다 몇가지 더 좋은점을 이야기하자면
1.주차장과 입구가 꽤 가깝다.(동문기준)
2.아이들이 탈만한것이 꽤 많다.
3.경사진곳이나 계단이 별로없고
많이 넓지않아 한바퀴 도는데 부담이 없다.
4.스낵거리가 놀이공원치고는 합리적인
가격들이 꽤 있다.
5.평일에 가면 놀이기구 대기시간이
다른곳보다 월등히 짧다.
정도 인 것 같아요.
아쉬운점은
1. 화장실은 찾기쉬운편이고
기저귀갈이대도 하나씩 있지만
수유실이있었으면 하는 아쉬움.
2. 뭔가 놀이동산 치고는 분위기가
너무 다운된 느낌... 뭔가 음악도
거의 없고 직원분들도
다 지치셨는지 힘이 빠져있어요ㅋㅋ
3. 운행하지 않는것들이 많아
아쉬웠어요.
이 정도만 쓰겠습니다~
객관적으로 하면 3점,
애아빠로서는 4점 이지만.
오랜만에 재미있게다녀와서
편파적으로 별다섯개 드려요.",5
2020년 11월,,
2020년 11월,,
2020년 11월,"가볍게 다녀오기 좋습니다.
버스킹이 활발해서 좋았어요",5
2020년 11월,아아들 놀기에 좋지만 중간중간 쉴공간이 조금 부족한듯,4
2020년 11월,"서울랜드는 아이들 및 유아들이 놀기에 좋다 어른들은 탈게 그리많지 않다.
아이들은 탈게 다른곳에 비해 많은거 같음 80cm~130cm사이의 아이들에게 딱임",4
2020년 11월,,
2020년 11월,크레페 넘 맛있어요 스페로스페라최고,5
2020년 11월,"언제나 즐겁습니다.
길 중간중간에 있는 간식 코너가 많아서 좋아요.
핫도그가 다 같은 핫도그가 아니네요. 맛있는 곳으로 잘 찾아가시길..",5
